Hydr_id        ,Address                                 ,Descript                                          ,CapColor
409028,NE 10th ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
409094,Fitzhugh AVE & Grove ST                 ,Orange (500-1000 gpm)                             ,Orange
409098,NE 10th ST & Grove ST                   ,Green (1000-1500 gpm)                             ,Green
409114,Fitzhugh AVE & Martin Luther King Jr. DR,Green (1000-1500 gpm)                             ,Green
409144,Fitzhugh AVE & E Hickory ST             ,Green (1000-1500 gpm)                             ,Green
409243,Stillhouse RD & Levi LN                 ,Green (1000-1500 gpm)                             ,Green
409246,2400 Stillhouse RD /Sterling House      ,Green (1000-1500 gpm)                             ,Green
409262,865 DeShong DR /Main Building S.E.      ,Green (1000-1500 gpm)                             ,Green
409275,865 DeShong DR /Main Building East End (,Green (1000-1500 gpm)                             ,Green
409277,1025 DeShong DR /Race for Life (west sid,Green (1000-1500 gpm)                             ,Green
410013,NE 11th ST & E Houston ST               ,Green (1000-1500 gpm)                             ,Green
410017,145 NE 11th ST /west side of street     ,Green (1000-1500 gpm)                             ,Green
410028,NE 11th ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
410056,NE 10th ST & E Booth ST                 ,Orange (500-1000 gpm)                             ,Orange
410064,1014 E Tudor ST /1000 Blk.              ,Green (1000-1500 gpm)                             ,Green
410081,NE 11th ST & Belmont ST                 ,Green (1000-1500 gpm)                             ,Green
410144,1430 NE 10th ST /1400 Blk.              ,Green (1000-1500 gpm)                             ,Green
410157,NE 11th ST & E Hickory ST               ,Green (1000-1500 gpm)                             ,Green
410163,NE 10th ST & E Center ST                ,Green (1000-1500 gpm)                             ,Green
410184,NE 10th ST & Clement RD                 ,Green (1000-1500 gpm)                             ,Green
410254,Lewis LN /Back of Cecil Everett / NW Cor,Green (1000-1500 gpm)                             ,Green
410256,2510 Stillhouse RD /doctor swint        ,Green (1000-1500 gpm)                             ,Green
410276,NE 11th ST & Levi LN                    ,Green (1000-1500 gpm)                             ,Green
410293,3201 Lewis LN /Higgins/Southwest        ,Green (1000-1500 gpm)                             ,Green
410295,1000 Cannon PL                          ,Green (1000-1500 gpm)                             ,Green
411004,NE 12th ST & Lamar AVE                  ,Green (1000-1500 gpm)                             ,Green
411028,NE 12th ST & Pine Bluff ST              ,Green (1000-1500 gpm)                             ,Green
411045,423 NE 12th ST /400 blk                 ,Green (1000-1500 gpm)                             ,Green
